Gene_acc,Gene_id,logFC,logCPM,log_PValue,Desc
2393,Tb927.6.1450,-0.184147434,5.591876997,6.54206087,hypothetical protein  conserved
2394,Tb927.11.2090,-0.19746387,6.491297207,6.541360436,choline kinase
2395,Tb927.9.7330,-0.385527338,3.259062485,6.531058839,expression site-associated gene 2 (ESAG2) protein  putative
2396,KS17gene_186a,-0.458858227,4.186716574,6.530491292,none
2397,KS17gene_3443a,0.201628911,6.617389813,6.529578062,none
2398,Tb4.NT.19,0.529794734,2.476937906,6.519094897,Noncoding RNA  putative
2399,Tb427VSG-14,-0.397449338,2.89031114,6.519248955,none
2400,Tb927.8.2590,0.184984175,5.689734261,6.514787393,Basal body protein
2401,KS17gene_1475a,0.436015576,2.714087849,6.513997271,none
2402,KS17gene_1498a,0.330106089,4.031264097,6.510663533,none
2403,TRY.88,0.443630607,3.105284974,6.504294561,none
2404,Tb05.5K5.230,-0.417594929,3.395718768,6.497000172,RAB GTP-binding protein  degenerate
2405,Tb927.9.13380,0.149085984,8.6475846,6.495376575,Autophagy-related protein 24
2406,Tb927.4.4810,-0.208692344,5.615839995,6.493880635,hypothetical protein  conserved
2407,TRY.93,-0.959970781,0.151691082,6.490011629,none
2408,MSTRG.67,0.244583463,6.097015138,6.481747814,none
2409,Tb927.5.4630,-0.425149496,3.08393595,6.480259244,expression site-associated gene 1 (ESAG1) protein  putative
2410,Tb927.8.4270,-0.177461327,6.800872039,6.479036814,hypothetical protein  conserved
2411,Tb927.11.11830,-0.16162464,8.256619372,6.476315111,40S ribosomal protein S17  putative
2412,Tb927.9.2700,-0.298974956,5.287107836,6.472523278,hypothetical protein  conserved
2413,Tb927.4.3360,0.212980345,5.108351704,6.471497091,hypothetical protein  conserved
2414,Tb11.v5.0246,-0.26079299,4.87498659,6.468263763,eukaryotic translation initiation factor 6  putative
2415,Tb927.6.2900,0.172078152,6.418639267,6.4671216,dendritic cell-derived IFNG-induced protein
2416,Tb927.9.5150,-0.171905393,7.073661938,6.466929769,ribosomal protein S6  putative
2417,KS17gene_4422a,0.263964807,5.584774081,6.466263872,none
2418,KS17gene_4704a,0.298898325,4.492439231,6.465502886,none
2419,Tb927.10.13360,-0.174686842,7.19880053,6.464775155,Elongation factor Tu  mitochondrial
2420,TRY.157,-1.228625937,-0.273460419,6.464098813,none
2421,Tb927.10.7900,0.172955034,6.001646848,6.4633386,hypothetical protein  conserved
2422,Tb11.v5.0565,-0.183399884,6.525790123,6.462201599,mitochondrial intermediate peptidase  putative
2423,KS17gene_3630a,0.205560642,6.572092251,6.460597927,none
2424,Tb927.5.790,0.183713476,6.34884678,6.459105774,casein kinase I isoform 1
2425,Tb927.8.5340,0.93468348,0.379981414,6.458661363,hypothetical protein
2426,Tb927.4.3940,-0.182870479,6.10520532,6.456214679,Calpain-like protein 2
2427,Tb927.1.2700,0.215934453,5.502740292,6.454104255,hypothetical protein  conserved
2428,Tb927.8.670,-0.227165616,5.06902366,6.449152131,hypothetical protein  conserved
2429,Tb927.6.410,0.185466317,5.527894045,6.448516756,hypothetical protein  conserved
2430,Tb927.7.780,0.16984833,5.804704216,6.446514839,RNA pseudouridylate synthase  putative
2431,MSTRG.249,-0.353295111,3.430565409,6.442018921,none
2432,Tb927.8.6470,-0.186448845,5.790344717,6.438452033,SET domain containing protein  putative
2433,Tb927.6.2550,-0.164943451,6.55982024,6.432943902,RNA-binding protein  putative
2434,Tb927.8.2670,-0.266477402,5.216267581,6.428972192,Putative S-adenosyl-L-methionine-dependent methyltransferase  putative
2435,Tb927.3.1540,0.331988422,4.664745936,6.427649341,CAAX amino terminal protease  putative
2436,Tb927.4.340,0.319299273,3.845826071,6.426664808,hypothetical protein  conserved
2437,Tb927.10.14510,0.155308759,7.504368303,6.424490515,root hair defective 3 GTP-binding protein (RHD3)  putative
2438,Tb927.11.2840,0.186498345,5.705717311,6.42274128,magnesium-dependent phosphatase-1/HAD phosphatase  family IIIC  putative
2439,TRY.965,-0.598394319,1.483673628,6.420433711,none
2440,Tb927.2.5240,0.166430162,6.385942636,6.414106629,pre-mRNA splicing factor 19
2441,Tb927.11.16750,-0.246623298,5.920704769,6.412148511,hypothetical protein  conserved
2442,KS17gene_7994a,0.185084441,6.036426959,6.410099094,none
2443,KS17gene_3906a,0.473855177,2.8178149,6.397325441,none
2444,KS17gene_3638a,0.416043404,2.931036118,6.396156543,none
2445,KS17gene_6484a,0.259119432,4.619992415,6.39346288,none
2446,KS17gene_939a,0.467028307,2.755374345,6.390391905,none
2447,Tb927.7.3070,0.182827316,7.129881639,6.388147191,UAA transporter family  putative
2448,Tb927.11.13050,-0.159817965,7.808810394,6.3870495,calmodulin
2449,Tb927.8.5350,-0.355823115,3.754493297,6.382074589,hypothetical protein  conserved
2450,Tb927.11.12110,0.18878182,6.890119572,6.38068716,RNA helicase  putative
2451,Tb927.11.11530,0.179447256,6.723547101,6.380442641,histone acetyltransferase  putative
2452,Tb927.6.2560,0.167943073,6.155110416,6.37398337,hypothetical protein  conserved
2453,Tb927.11.2160,-0.232108345,5.113390035,6.373355523,hypothetical protein  conserved
2454,KS17gene_113a,-0.423640424,2.676506976,6.3615443,none
2455,Tb927.9.5700,0.152274782,7.312803819,6.356132382,hypothetical protein  conserved
2456,Tb927.6.450,0.750369547,3.067419783,6.353614023,procyclin PARP A
2457,Tb927.10.3850,-0.278800639,4.472891785,6.344133857,hypothetical protein  conserved
2458,Tb11.v5.0853,-0.173599014,6.195359227,6.34221403,Vacuolar sorting protein 9 (VPS9) domain containing protein  putative
2459,Tb927.11.5660,0.234739787,5.038487064,6.340761638,hypothetical protein  conserved
2460,Tb927_08_v4.snoRNA.0039,0.431319291,2.690699007,6.340073742,C/D snoRNA
2461,Tb927.6.1490,0.181352114,5.663734919,6.339351538,leucine-rich repeat protein (LRRP)  putative
2462,MSTRG.120,2.354986609,-1.779283908,6.33656185,none
2463,Tb927.11.11710,0.15879697,6.468395806,6.332847021,Putative serine esterase (DUF676)  putative
2464,KS17gene_537a,-0.265063055,5.359910972,6.330396465,none
2465,Tb927_08_v4.snoRNA.0038,0.405772457,2.689878698,6.330407792,C/D snoRNA
2466,ND4,0.362511554,5.052960708,6.329389646,none
2467,KS17gene_1898a,0.258129098,5.357433024,6.325283367,none
2468,MSTRG.570,0.180782802,5.65114253,6.324064758,none
2469,Tb927.6.1040,0.208313733,8.133912862,6.32328294,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
2470,MSTRG.216,-0.43804713,3.327180209,6.319707895,none
2471,Tb927.9.16070,1.767622897,-0.788913293,6.31919095,hypothetical protein
2472,Tb927_08_v4.snoRNA.0021,0.470989826,2.503878449,6.317335597,C/D snoRNA
2473,TRY.537,-0.460433974,2.310325051,6.312672882,none
2474,Tb927.9.12140,-0.235057984,5.99299651,6.311874894,mitochondrial carrier protein
2475,Tb927.9.10820,0.167910629,6.253489473,6.301570935,hypothetical protein  conserved
2476,Tb10.v4.0245,0.260256074,4.946023804,6.300839878,hypothetical protein
2477,KS17gene_3855a,0.35561019,3.428343774,6.300244041,none
2478,TRY.587,0.315014766,3.709469312,6.298360233,none
2479,Tb927.11.9760,0.179183645,5.953819324,6.290719808,hypothetical protein  conserved
2480,KS17gene_3551a,-0.351427069,3.140257133,6.290153974,none
2481,Tb927.11.170,0.199994086,5.711597912,6.286109736,hypothetical protein  conserved
2482,Tb927.9.9280,0.185797793,6.16652506,6.279198509,hypothetical protein  conserved
2483,Tb927.11.1370,0.187958014,7.16102388,6.278193304,Dithiol glutaredoxin 1
2484,KS17gene_3717a,0.549468048,2.07023476,6.274876385,none
2485,Tb927.8.4540,0.186119459,7.284766808,6.26998716,PAB1-binding protein   putative
2486,Tb927.5.4590,-0.469468458,2.353688988,6.269418625,small GTP-binding rab protein  pseudogene  putative
2487,KS17gene_236a,-0.28365833,4.359636046,6.268092588,none
2488,Tb927.4.2240,-0.215728203,6.61691137,6.265580672,Aminotransferase class IV  putative
2489,Tb927.5.1090,0.1693211,7.797462773,6.263924004,threonyl-tRNA synthetase  putative
2490,MSTRG.348,-0.287790663,4.15110153,6.257612332,none
2491,Tb927.9.8610,0.157060104,6.676859937,6.257101746,Transcriptional repressor TCF25  putative
2492,KS17gene_4153a,-0.313278121,3.601388659,6.25726418,none
2493,MSTRG.606,-0.311965551,3.906110752,6.256873571,none
2494,Tb927.5.293b,0.192860986,5.695225324,6.25591422,hypothetical protein
2495,Tb927.8.5680,0.167696553,5.792299302,6.255084403,Pyridoxal-dependent decarboxylase conserved domain containing protein  putative
2496,MSTRG.755,0.1994493,6.417681315,6.253199772,none
2497,Tb927.2.5800,-0.181640031,5.972628692,6.249447636,sedoheptulose-1 7-bisphosphatase
2498,MSTRG.43,-0.405241701,4.269469129,6.248420863,none
2499,Tb927.2.2130,-0.18540788,5.610831692,6.242856469,small GTP-binding protein RAB6  putative
2500,Tb927.11.6810,-0.162105754,6.385634103,6.240665061,tubulin-tyrsoine ligase-like protein  putative
2501,Tb927.11.13270,0.193327666,6.602646121,6.237470175,hypothetical protein  conserved
2502,TRY.402,1.464542028,-0.089235198,6.228268682,none
2503,Tb927.9.10190,-0.195738067,5.773895031,6.228054629,hypothetical protein  conserved
2504,Tb927.7.900,0.154883528,7.272660229,6.22571355,hypothetical protein  conserved
2505,MSTRG.903,-0.324506126,3.68388627,6.22371675,none
2506,Tb927.8.1940,0.180197452,6.877818047,6.219302923,endosomal integral membrane protein  putative
2507,Tb927.9.6290,0.171007875,8.992514876,6.218543411,arginine kinase
2508,Tb927.1.1710,0.164929395,7.656944862,6.216545951,transmembrane protein  conserved
2509,Tb927.7.2680,-0.332370201,4.037145729,6.216617053,zinc finger protein family member  putative
2510,Tb927.5.3970,-0.19117331,5.699954845,6.211865902,adenylate kinase  putative
2511,Tb927.8.7560,0.200927691,5.108013201,6.211338326,CorA-like Mg2+ transporter protein  putative
2512,Tb11.v5.0240,-0.18838264,5.713965232,6.210912203,hypothetical protein  conserved
2513,Tb927.1.100,0.198518471,8.245488088,6.209614836,RNA polymerase (pseudogene)  putative
2514,Tb927.10.14390,0.185461414,7.011784469,6.207722261,FACT complex subunit POB3
2515,TRY.474,-0.282119378,4.100613044,6.206534515,none
2516,KS17gene_8506a,0.466329093,4.07728075,6.205584047,none
2517,Tb927.10.6420,-0.550286011,1.989032848,6.205613069,hypothetical protein
2518,Tb927.10.1470,-0.192008595,6.594545034,6.201638764,hypoxanthine-guanine phosphoribosyltransferase
2519,Tb927.3.4720,-0.188219076,7.974294158,6.200195733,dynamin-1-like protein
2520,Tb927.7.2870,-0.177600063,7.113943455,6.19742026,histone H2A  putative
2521,Tb927.1.2490,0.147509872,8.789611036,6.193670446,histone H3  putative
2522,Tb927.11.4650,0.178558232,6.728573075,6.188333696,Mitochondrial ribosomal protein L52  kinetoplast ribosomal PPR-repeat containing protein 13
2523,Tb927.11.16930,0.197374211,5.478648657,6.18773485,ABC transporter of the mitochondrion  putative
2524,Tb927.4.4790,-0.186889565,6.056461118,6.187450431,hypothetical protein  conserved
2525,TRY.969,0.180685408,6.469119068,6.186106337,none
2526,KS17gene_4193a,0.495119838,2.423556704,6.185216706,none
2527,Tb927.7.2730,0.242442798,4.504914969,6.180382572,leucine-rich repeat protein (LRRP)  putative
2528,Tb927.2.5350,0.323011811,4.237906819,6.18042459,hypothetical protein  conserved
2529,Tb927.11.6180,-0.204959434,8.702927655,6.175871625,60S ribosomal protein L28  putative
2530,Tb927.8.2340,-0.253809818,4.739046065,6.173786054,hypothetical protein  conserved
2531,TRY.1070,-0.316159334,4.222451096,6.170249633,none
2532,Tb927.11.14780,-0.151766604,6.981027121,6.168101614,phosphomannose isomerase
2533,Tb927.1.3550,0.217023712,5.457564246,6.167545463,hypothetical protein
2534,TRY.601,1.858697154,-1.16255846,6.165980488,none
2535,KS17gene_4080a,0.305891987,4.1333309,6.163148125,none
2536,Tb927.9.12430,-0.24269984,5.118554661,6.160497757,riboflavin kinase  putative
2537,Tb927.11.10940,0.164744508,6.289784449,6.15786552,hypothetical protein  conserved
2538,Tb427VSG-6841,0.232979285,4.776274207,6.150081767,none
2539,Tb927.11.5830,-0.186376322,5.986764557,6.143203291,YL1 nuclear protein  putative
2540,Tb927.2.2380,0.174623704,6.48574631,6.140301236,glycosyltransferase (GlcNAc)  putative
2541,TRY.200,-0.206058355,5.300558138,6.139098927,none
2542,Tb927.11.2825,-0.249596849,4.690250004,6.138068678,Presenilin enhancer-2 subunit of gamma secretase  putative
2543,Tb927.3.2500,0.405517134,2.8524709,6.137242337,Trypanosomal VSG domain containing protein  putative
2544,Tb927.10.5080,0.165585184,6.003878642,6.12781849,GPI transamidase component Tta2
2545,Tb927.11.9430,0.192741039,5.820456039,6.126164631,TFIIH basal transcription factor subunit
2546,Tb927.4.2300,-0.169949559,5.565619798,6.125322376,hypothetical protein  conserved
2547,TRY.72,-0.212945261,7.308601975,6.124270434,none
2548,Tb927_08_v4.snoRNA.0030,0.4285337,2.688223091,6.121636174,C/D snoRNA
2549,Tb927.8.6020,0.188767078,5.447775487,6.117016994,hypothetical protein  conserved
2550,Tb927.11.13920,-0.167019663,7.057661365,6.11494169,kinesin-II 85 Kd subunit  putative
2551,Tb927.11.13010,-0.176504491,5.543325905,6.11364577,hypothetical protein
2552,Tb927.11.3560,0.69000689,1.063445461,6.111079812,hypothetical protein
2553,Tb927.10.5340,-0.178663021,8.461778963,6.110170645,40S ribosomal protein S18  putative
2554,Tb927.4.2970,0.223710324,4.941452366,6.10680255,chaperone protein DnaJ  putative
2555,KS17gene_925a,-0.410316272,2.926942783,6.102772682,none
2556,Tb927.9.13250,0.18366053,5.986332184,6.100499287,NADPH--cytochrome P450 reductase  putative
2557,Tb927.10.15320,-0.17696678,5.964965929,6.099400142,hypothetical protein  conserved
2558,Tb927.3.4200,0.169369411,5.655125631,6.097969371,Integral membrane protein S linking to the trans Golgi network  putative
2559,Tb927.9.10350,0.160769173,5.953657394,6.085418383,Snf7  putative
2560,Tb927.6.2980,0.181638231,5.918415521,6.080934619,Eukaryotic translation initiation factor 2-alpha kinase 3  putative
2561,TRY.408,1.167664829,-0.335637127,6.07669024,none
2562,TRY.828,0.209750198,5.567573364,6.074205281,none
2563,TRY.912,-0.279865872,4.389541928,6.070311121,none
2564,Tb927.1.4890,-0.277682888,4.463120267,6.070055791,expression site-associated gene 2 (ESAG2) protein  putative
2565,Tb927.11.2860,-0.315602114,3.910877483,6.067070734,hypothetical protein  conserved
2566,Tb927.9.12470,0.226725226,5.115725142,6.062091536,inositol polyphosphate multikinase
2567,MSTRG.951,0.251640534,4.464079041,6.061426709,none
2568,Tb927.7.3260,0.213171558,5.213371738,6.061148521,expression site-associated gene 7 (ESAG7) protein  putative
2569,KS17gene_8254a,-0.229332853,4.911068024,6.060783383,none
2570,Tb927.10.5760,-0.204466979,4.909552652,6.057704335,adenylate kinase  putative
2571,Tb927.3.1240,0.203052486,5.548082699,6.055858645,Serine/threonine-protein phosphatase 2A  putative
2572,TRY.562,0.175403445,6.785631286,6.055369472,none
2573,Tb11.15.0008b,0.167096822,6.777735385,6.053509069,expression site-associated gene 3 (ESAG3)  degenerate and frameshifted
2574,Tb427VSG-761,-1.22372593,-0.468984181,6.051403052,none
2575,Tb11.v5.0722,-0.196114964,6.345630508,6.043521475,variant surface glycoprotein (VSG)-related  putative
2576,TRY.758,-0.276453335,4.241948607,6.037629381,none
2577,Tb927.11.17000,0.146106258,9.249498204,6.037249843,AIR9-like protein
2578,KS17gene_7520a,0.340334544,4.268763816,6.032640587,none
2579,Tb927.3.4870,0.24209513,4.653326439,6.031740115,hypothetical protein  conserved
2580,Tb927.11.1350,-0.200293679,5.175659271,6.030253036,calcium uniporter protein  mitochondrial
2581,Tb927.11.5740,0.171982983,6.269010706,6.027268672,formin-like protein
2582,Tb927.10.5870,0.22287088,5.449378252,6.025793706,Flagellum attachment zone protein 25
2583,Tb05.30F7.410,0.783161101,1.15435,6.023844393,hypothetical protein
2584,Tb927.10.2080,0.169107919,6.022440386,6.023313758,hypothetical protein  conserved
2585,MSTRG.647,0.327020069,3.809087851,6.022174947,none
2586,Tb927.11.9920,0.193353075,8.233479035,6.020522579,polyubiquitin  putative
2587,Tb927.7.4050,0.150850869,6.468393693,6.01770163,hypothetical protein  conserved
2588,Tb927.9.8320,0.196368019,5.304540152,6.012223158,hypothetical protein
2589,Tb927.11.12020,-0.25008412,4.663043171,6.012284344,hypothetical protein  conserved
2590,Tb927.10.9675,0.318683782,3.525035726,6.009783445,hypothetical protein
2591,Tb927.8.7170,0.200752926,5.338636672,6.008438392,inositol polyphosphate 1-phosphatase  putative
2592,MSTRG.907,0.399436094,3.672062637,6.006562145,none
2593,Tb927.9.6870,-0.284415016,4.680807515,6.005660342,RNA-binding protein  putative
2594,MSTRG.420,-0.582035378,1.481615485,6.004369306,none
2595,Tb927.11.4590,0.186270516,5.377206992,6.003597422,hypothetical protein  conserved
2596,TRY.45,-0.231887458,4.957813974,6.002746095,none
2597,Tb927.8.1665,-0.306572414,4.287508948,6.002521762,hypothetical protein
2598,KS17gene_4072a,-0.291534904,4.642604368,6.0015876,none
2599,TRY.393,-0.187398253,5.452680245,6.000150087,none
2600,Tb927.7.2240,-0.181461733,7.094867759,5.998577545,hypothetical protein  conserved
2601,KS17gene_6790a,0.2978242,3.90313135,5.997290183,none
2602,Tb927.5.4100,-0.196183648,5.282474967,5.997404408,WD domain  G-beta repeat  putative
2603,Tb927.7.360,0.294833047,4.305881746,5.992281652,hypothetical protein  conserved
2604,Tb927.8.8340,0.184279658,6.272550163,5.986677131,CRAL/TRIO domain containing protein  putative
2605,Tb927_08_v4.snoRNA.0025,0.408944512,3.519753003,5.985438123,C/D snoRNA
2606,KS17gene_91a,-0.313111704,3.596304322,5.9828854,none
2607,KS17gene_7909a,0.2787381,4.137801996,5.981754588,none
2608,KS17gene_4458a,-0.235711105,5.314546381,5.975675404,none
2609,Tb11.v5.0693,0.170126867,6.322498573,5.973677183,retrotransposon hot spot (RHS) protein  putative
2610,Tb927.11.13450,0.19010012,6.311170629,5.971314175,hypothetical protein  conserved
2611,KS17gene_4582a,0.341578348,3.373197965,5.967857921,none
2612,Tb927.3.2860,-0.248150941,4.526037028,5.965464531,hypothetical protein  conserved
2613,KS17gene_3678a,-0.374811633,3.175298769,5.959844495,none
2614,Tb927.6.470,0.293488669,3.833298283,5.95934822,gene related to expression site-associated gene 2 (GRESAG2)  putative
2615,Tb927.1.4220,0.164833037,6.016143448,5.957096908,Ydr279p protein family (RNase H2 complex component)  putative
2616,Tb927.3.2370,-0.218315792,5.086560825,5.956171167,hypothetical protein  conserved
2617,Tb927.8.3330,-0.194554523,5.417784349,5.952993269,mitochondrial carrier protein
2618,KS17gene_3298a,-0.565941582,2.723997285,5.949848439,none
2619,Tb927.3.4790,0.173494348,7.451966385,5.949418355,Aminopeptidase M1  putative
2620,Tb927.10.13910,-0.225919835,5.025377488,5.93871525,hypothetical protein  conserved
2621,MSTRG.985,-0.463209337,2.512481557,5.938095972,none
2622,Tb927.5.940,0.175986763,6.551798925,5.935712382,NADH-dependent fumarate reductase  putative
2623,TRY.64,-0.354210463,4.64915339,5.934671798,none
2624,Tb927.8.3100,0.14417757,8.057314002,5.933104332,coronin  putative
2625,KS17gene_6594a,0.375348723,3.317378388,5.927998351,none
2626,Tb927.10.10850,-0.185618841,6.818210632,5.92616762,Protein argonaute-1
2627,Tb927.11.14700,-0.193721276,5.298787592,5.92624989,hypothetical protein  conserved
2628,Tb927.9.10280,-0.200773927,4.95142525,5.922605762,Zinc finger CCCH domain-containing protein 48
2629,Tb927.11.13350,0.149483704,6.996731295,5.918232464,hypothetical protein  conserved
2630,Tb11.v5.0661,-0.256430644,4.391344163,5.916751964,DNA polymerase kappa  putative
2631,TRY.983,0.174111659,6.423712178,5.908288245,none
2632,Tb927.4.5100,0.189551549,5.332304358,5.906587515,Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter  putative
2633,Tb927.7.5100,0.169329213,5.866520397,5.905877496,hypothetical protein  conserved
2634,Tb927.10.6410,0.16921044,7.474632721,5.9054424,DNA mismatch repair protein MSH6  putative
2635,Tb927.10.12300,-0.217893246,4.917996036,5.90353898,hypothetical protein  conserved
2636,TRY.54,-0.605516469,1.459395539,5.901968067,none
2637,Tb927.7.4020,0.206262251,4.864875455,5.901424318,protein phosphatase 2C  putative
2638,Tb927.6.1050,0.20194382,7.545251398,5.899964357,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
2639,KS17gene_30a,-0.324033711,3.874101272,5.899269182,none
2640,Tb927.6.2990,0.190105813,5.366539216,5.898652718,Putative papain-like cysteine peptidase (DUF1796)  putative
2641,Tb427VSG-1614,2.04340082,-1.423138167,5.891783266,none
2642,Tb927.9.5680,0.160193168,7.436410697,5.888251125,inositol/phosphatidylinositol phosphatase  putative
2643,Tb927.3.860,-0.174260797,7.056147795,5.887478536,Acyl carrier protein  mitochondrial
2644,Tb927_09_v4.snoRNA.0117,0.417308101,2.688096132,5.885957809,C/D snoRNA
2645,Tb927.2.5950,-0.171947733,6.049072632,5.880819957,hypothetical protein  conserved
2646,KS17gene_7776a,0.35117529,3.350719728,5.876866325,none
2647,KS17gene_2863a,0.201808427,5.097030893,5.874065769,none
2648,Tb927.6.5210,-0.707493075,0.913670419,5.873378291,variant surface glycoprotein  frameshift
2649,Tb927.11.510,0.192705998,6.845123866,5.871626903,RNA-binding protein  UBP2
2650,Tb927.3.3250,0.254524557,4.93943981,5.868325652,hypothetical protein  conserved
2651,Tb927.9.15890,0.154496763,6.747612209,5.86072072,expression site-associated gene 5 (ESAG5) protein  putative
2652,Tb927.10.12600,-0.166476755,6.184210345,5.854561845,Small RNA 2'-O-methyltransferase
2653,Tb927.3.1660,-0.242303456,4.950216857,5.851670079,SUMO-interacting motif-containing protein
2654,Tb927.10.3400,-0.316189963,3.762015892,5.847712633,hypothetical protein  conserved
2655,Tb927.6.1280,0.18082105,5.374222935,5.847230862,translation initiation factor EIF-2b alpha subunit  putative
2656,KS17gene_783a,0.229617375,5.064527096,5.842523932,none
2657,KS17gene_1620a,0.194639367,5.267877487,5.842131135,none
2658,Tb11.v5.0266,-0.230080876,5.331365154,5.840943089,hypothetical protein  conserved
2659,Tb927.10.3210,-0.144664012,8.164387069,5.837619106,delta-1-pyrroline-5-carboxylate dehydrogenase  putative
2660,Tb927.6.2540,0.191202166,5.309239078,5.835047318,DREV methyltransferase  putative
2661,TRY.193,-0.324555717,3.773232845,5.827538396,none
2662,Tb927.7.1540,0.182370196,5.415098407,5.826136163,Staphylococcal nuclease homologue  putative
2663,Tb11.v5.0588,-0.275408996,4.90844136,5.817365247,AARP2CN (NUC121) domain containing protein  putative
2664,KS17gene_2434a,0.272982187,5.054580521,5.813614385,none
2665,Tb927.2.4160,0.170146659,5.852067908,5.811207552,hypothetical protein  conserved
2666,MSTRG.253,-0.425155197,3.300670853,5.803318929,none
2667,Tb927.9.1560,0.173673437,6.252785649,5.801934823,DnaJ domain containing protein  putative
2668,Tb927.7.2820,-0.207107252,5.93867951,5.799632404,histone H2A  putative
2669,Tb927.11.6540,0.18915128,5.653278143,5.798990733,hypothetical protein  conserved
2670,Tb927.10.14050,-0.630354143,1.329489207,5.798494824,hypothetical protein
2671,Tb927.6.3820,-0.155365503,6.820754619,5.797287864,hypothetical protein  conserved
2672,Tb927.10.6060,-0.16812094,6.48612549,5.79473555,universal minicircle sequence binding protein 2
2673,Tb927.2.4060,0.175599236,6.455476577,5.793849733,Dynein intermediate chain 138
2674,Tb927.9.10500,-0.16842215,5.873258812,5.791693265,HAD hydrolase  TIGR01456 family/HAD hydrolase  family IIA  putative
2675,MSTRG.331,0.569261381,1.745191547,5.79117939,none
2676,Tb927.11.14690,0.16560299,6.080848202,5.790653154,Microtubule-binding protein MIP-T3  putative
2677,Tb927.11.7610,0.452089374,2.519461642,5.789492235,gp63-1 surface protease homologue  pseudogene
2678,Tb927.6.2870,0.257540712,4.662703791,5.788950533,hypothetical protein  conserved
2679,Tb927_08_v4.snoRNA.0003,0.377536228,2.93457203,5.784897783,C/D snoRNA
2680,Tb927.11.2850,-0.32135089,3.439400527,5.783205703,hypothetical protein  conserved
2681,Tb927.10.9850,0.205484662,5.514191608,5.778674358,amino acid transporter  putative
2682,MSTRG.153,-0.281619671,4.859855207,5.774103991,none
2683,Tb927.8.1780,0.195923176,7.110841619,5.772430113,STE/STE7 protein kinase  putative
2684,Tb927.3.750,-0.177559899,5.406480484,5.771106779,SET domain containing protein  putative
2685,Tb927.9.15550,-0.47576844,2.926929153,5.77119094,BARP protein
2686,KS17gene_2440a,0.275742721,4.359457707,5.771406271,none
2687,Tb927.5.3620,-0.2099868,6.02971222,5.765637776,kinetoplastid-specific dual specificity phosphatase  putative
2688,Tb927.7.290,0.162655329,6.368998536,5.764850902,leucine-rich repeat protein 1 (LRRP1)  putative
2689,Tb927.5.3480,0.217319009,5.132807262,5.760237505,hypothetical protein  conserved
2690,Tb927_08_v4.snoRNA.0022,0.301282292,4.110812787,5.757646236,C/D snoRNA
2691,Tb927.10.13517,-0.14699688,7.72632622,5.756874337,40S ribosomal protein S27-like  putative
2692,KS17gene_440a,0.461119312,2.451478307,5.755509162,none
2693,Tb927.9.15950,1.119487729,0.196478798,5.751841022,hypothetical protein
2694,Tb07.30D13.130,0.334514462,3.84989912,5.743183852,hypothetical protein  conserved (pseudogene)
2695,Tb927.11.13030,-0.144601681,7.926530021,5.74265858,calmodulin
2696,MSTRG.529,-0.528481759,1.818422074,5.742162717,none
2697,Tb927.10.3940,-0.159641469,7.759607318,5.739371144,40S ribosomal protein S3A  putative
2698,Tb927.7.1690,0.165403627,5.818234122,5.733711289,Silent information regulator 2 related protein 1
2699,Tb927.10.11520,-0.16683163,5.782955145,5.728518053,mitochondrial import inner membrane translocase subunit tim13
2700,Tb927.7.5070,-0.180936035,5.302577892,5.724360047,hypothetical protein
2701,Tb11.v5.0181,-0.157163212,7.290284277,5.718545517,60S ribosomal protein L19  putative
2702,Tb927.6.360,0.183364942,6.177628965,5.718675527,UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene)  putative
2703,Tb927.5.1130,-0.181445406,7.057099144,5.712704657,hypothetical protein  conserved
2704,Tb11.v5.0505,0.157514898,8.130374756,5.711889421,hypothetical protein  conserved
2705,Tb927.11.6350,0.141250145,7.608928012,5.708676661,AAA ATPase  putative
2706,Tb927.11.8860,0.168634037,5.80754366,5.70819955,CEP76 C2 domain containing protein  putative
2707,Tb927.11.3780,0.153301061,7.146081125,5.703838291,subtilisin peptidase
2708,Tb927.4.1250,0.166704404,6.541146781,5.70103471,peroxisome biogenesis factor 1  putative
2709,Tb927.11.16190,-0.505239278,2.341680956,5.692139081,hypothetical protein
2710,Tb927.9.9660,-0.15996875,6.923043523,5.689994529,Mitochondrial import receptor subunit ATOM40
2711,Tb927.10.15240,0.152839473,6.302137786,5.690065493,hypothetical protein  conserved
2712,Tb927.2.720,0.173863229,7.409806102,5.689801753,retrotransposon hot spot protein 5 (RHS5)  degenerate
2713,Tb927.11.5855,0.336597905,3.986326698,5.68872112,hypothetical protein
2714,Tb927.10.14750,-0.204310101,6.052161665,5.687278318,fibrillarin  putative
2715,Tb927.6.770,-0.26509055,4.290161473,5.686383491,receptor-type adenylate cyclase GRESAG 4  putative
2716,Tb927.3.5280,0.189734507,5.428280727,5.681849067,spliceosome-associated protein 49  putative
2717,Tb927.6.3300,0.174531392,5.50635185,5.679089038,GPI alpha-mannosyltransferase I
2718,Tb927.10.12840,-0.175341542,6.675194017,5.678477749,mitochondrial carrier protein
2719,Tb927.7.2860,-0.161392824,7.275287689,5.676838433,histone H2A  putative
